Year,Title,Artist
2000,Smooth,Santana Featuring Rob Thomas
2000,What A Girl Wants,Christina Aguilera
2000,I Knew I Loved You,Savage Garden
2000,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000,Amazed,Lonestar
2000,Say My Name,Destiny's Child
2000,Maria Maria,Santana Featuring The Product G&B
2000,Try Again,Aaliyah
2000,Be With You,Enrique Iglesias
2000,Everything You Want,Vertical Horizon
2000,Bent,matchbox twenty
2000,It's Gonna Be Me,'N Sync
2000,Incomplete,Sisqo
2000,Doesn't Really Matter,Janet
2000,Music,Madonna
2000,Come On Over Baby (All I Want Is You),Christina Aguilera
2000,With Arms Wide Open,Creed
2000,Independent Women Part I,Destiny's Child
2001,Independent Women Part I,Destiny's Child
2001,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
2001,Ms. Jackson,OutKast
2001,Stutter,Joe Featuring Mystikal
2001,Butterfly,Crazy Town
2001,Angel,Shaggy Featuring Rayvon
2001,All For You,Janet
2001,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk"
2001,U Remind Me,Usher
2001,Bootylicious,Destiny's Child
2001,Fallin',Alicia Keys
2001,I'm Real,Jennifer Lopez Featuring Ja Rule
2001,Family Affair,Mary J. Blige
2001,U Got It Bad,Usher
2001,How You Remind Me,Nickelback
2002,How You Remind Me,Nickelback
2002,U Got It Bad,Usher
2002,Always On Time,Ja Rule Featuring Ashanti
2002,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
2002,Foolish,Ashanti
2002,Hot In Herre,Nelly
2002,Dilemma,Nelly Featuring Kelly Rowland
2002,A Moment Like This,Kelly Clarkson
2002,Lose Yourself,Eminem
2003,Lose Yourself,Eminem
2003,"Bump, Bump, Bump",B2K & P. Diddy
2003,All I Have,Jennifer Lopez Featuring LL Cool J
2003,In Da Club,50 Cent
2003,Get Busy,Sean Paul
2003,21 Questions,50 Cent Featuring Nate Dogg
2003,This Is The Night,Clay Aiken
2003,Crazy In Love,Beyonce Featuring Jay Z
2003,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
2003,Baby Boy,Beyonce Featuring Sean Paul
2003,Stand Up,Ludacris Featuring Shawnna
2003,Hey Ya!,OutKast
2004,Hey Ya!,OutKast
2004,The Way You Move,OutKast Featuring Sleepy Brown
2004,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
2004,Yeah!,Usher Featuring Lil Jon & Ludacris
2004,Burn,Usher
2004,I Believe,Fantasia
2004,Confessions Part II,Usher
2004,Slow Motion,Juvenile Featuring Soulja Slim
2004,Lean Back,Terror Squad
2004,Goodies,Ciara Featuring Petey Pablo
2004,My Boo,Usher And Alicia Keys
2004,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
2005,Let Me Love You,Mario
2005,Candy Shop,50 Cent Featuring Olivia
2005,Hollaback Girl,Gwen Stefani
2005,We Belong Together,Mariah Carey
2005,Inside Your Heaven,Carrie Underwood
2005,Gold Digger,Kanye West Featuring Jamie Foxx
2005,Run It!,Chris Brown
2006,Don't Forget About Us,Mariah Carey
2006,Laffy Taffy,D4L
2006,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
2006,Check On It,Beyonce Featuring Slim Thug
2006,You're Beautiful,James Blunt
2006,So Sick,Ne-Yo
2006,Temperature,Sean Paul
2006,Bad Day,Daniel Powter
2006,SOS,Rihanna
2006,Ridin',Chamillionaire Featuring Krayzie Bone
2006,Hips Don't Lie,Shakira Featuring Wyclef Jean
2006,Do I Make You Proud,Taylor Hicks
2006,Promiscuous,Nelly Furtado Featuring Timbaland
2006,London Bridge,Fergie
2006,SexyBack,Justin Timberlake
2006,Money Maker,Ludacris Featuring Pharrell
2006,My Love,Justin Timberlake Featuring T.I.
2006,I Wanna Love You,Akon Featuring Snoop Dogg
2006,Irreplaceable,Beyonce
2007,Irreplaceable,Beyonce
2007,Say It Right,Nelly Furtado
2007,What Goes Around...Comes Around,Justin Timberlake
2007,This Is Why I'm Hot,Mims
2007,Glamorous,Fergie Featuring Ludacris
2007,Don't Matter,Akon
2007,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
2007,Girlfriend,Avril Lavigne
2007,Makes Me Wonder,Maroon 5
2007,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
2007,Umbrella,Rihanna Featuring Jay-Z
2007,Hey There Delilah,Plain White T's
2007,Beautiful Girls,Sean Kingston
2007,Big Girls Don't Cry,Fergie
2007,Crank That (Soulja Boy),Soulja Boy Tell'em
2007,Stronger,Kanye West
2007,Kiss Kiss,Chris Brown Featuring T-Pain
2007,No One,Alicia Keys
2008,Low,Flo Rida Featuring T-Pain
2008,Love In This Club,Usher Featuring Young Jeezy
2008,Bleeding Love,Leona Lewis
2008,Touch My Body,Mariah Carey
2008,Lollipop,Lil Wayne Featuring Static Major
2008,Take A Bow,Rihanna
2008,Viva La Vida,Coldplay
2008,I Kissed A Girl,Katy Perry
2008,Disturbia,Rihanna
2008,Whatever You Like,T.I.
2008,So What,P!nk
2008,Live Your Life,T.I. Featuring Rihanna
2008,Womanizer,Britney Spears
2008,Single Ladies (Put A Ring On It),Beyonce
2009,Single Ladies (Put A Ring On It),Beyonce
2009,Just Dance,Lady Gaga Featuring Colby O'Donis
2009,My Life Would Suck Without You,Kelly Clarkson
2009,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent"
2009,Right Round,Flo Rida
2009,Poker Face,Lady Gaga
2009,Boom Boom Pow,The Black Eyed Peas
2009,I Gotta Feeling,The Black Eyed Peas
2009,Down,Jay Sean Featuring Lil Wayne
2009,3,Britney Spears
2009,Fireflies,Owl City
